number,value,datetime_start,datetime_complete,duration,params_seasonal,user_attrs_val_aic,user_attrs_val_mape,state
0,-2054.0030245342277,2022-10-29 12:52:38.337616,2022-10-29 12:52:38.406982,0 days 00:00:00.069366,add,-2054.0030245342277,0.001099857915785997,COMPLETE
1,108.58084567174392,2022-10-29 12:52:38.529048,2022-10-29 12:52:38.544672,0 days 00:00:00.015624,None,108.58084567174392,0.010060074820416149,COMPLETE
2,-2054.0030245342277,2022-10-29 12:52:38.663133,2022-10-29 12:52:38.750547,0 days 00:00:00.087414,add,-2054.0030245342277,0.001099857915785997,COMPLETE
3,-2054.001298822824,2022-10-29 12:52:38.859562,2022-10-29 12:52:39.284624,0 days 00:00:00.425062,mul,-2054.001298822824,0.0010998456330650753,COMPLETE
4,-2054.001298822824,2022-10-29 12:52:39.407535,2022-10-29 12:52:39.836852,0 days 00:00:00.429317,mul,-2054.001298822824,0.0010998456330650753,COMPLETE
5,108.58084567174392,2022-10-29 12:52:39.956054,2022-10-29 12:52:39.972292,0 days 00:00:00.016238,None,108.58084567174392,0.010060074820416149,COMPLETE
6,-2054.0030245342277,2022-10-29 12:52:40.082793,2022-10-29 12:52:40.166788,0 days 00:00:00.083995,add,-2054.0030245342277,0.001099857915785997,COMPLETE
7,108.58084567174392,2022-10-29 12:52:40.286412,2022-10-29 12:52:40.306486,0 days 00:00:00.020074,None,108.58084567174392,0.010060074820416149,COMPLETE
8,108.58084567174392,2022-10-29 12:52:40.427803,2022-10-29 12:52:40.444643,0 days 00:00:00.016840,None,108.58084567174392,0.010060074820416149,COMPLETE
9,-2054.0030245342277,2022-10-29 12:52:40.551689,2022-10-29 12:52:40.632768,0 days 00:00:00.081079,add,-2054.0030245342277,0.001099857915785997,COMPLETE
10,-2054.0030245342277,2022-10-29 12:52:40.756273,2022-10-29 12:52:40.842521,0 days 00:00:00.086248,add,-2054.0030245342277,0.001099857915785997,COMPLETE
11,-2054.0030245342277,2022-10-29 12:52:40.965558,2022-10-29 12:52:41.034815,0 days 00:00:00.069257,add,-2054.0030245342277,0.001099857915785997,COMPLETE
12,-2054.0030245342277,2022-10-29 12:52:41.163274,2022-10-29 12:52:41.250080,0 days 00:00:00.086806,add,-2054.0030245342277,0.001099857915785997,COMPLETE
13,-2054.0030245342277,2022-10-29 12:52:41.383565,2022-10-29 12:52:41.469022,0 days 00:00:00.085457,add,-2054.0030245342277,0.001099857915785997,COMPLETE
14,-2054.0030245342277,2022-10-29 12:52:41.577288,2022-10-29 12:52:41.658251,0 days 00:00:00.080963,add,-2054.0030245342277,0.001099857915785997,COMPLETE
15,-2054.0030245342277,2022-10-29 12:52:41.777785,2022-10-29 12:52:41.861880,0 days 00:00:00.084095,add,-2054.0030245342277,0.001099857915785997,COMPLETE
16,-2054.001298822824,2022-10-29 12:52:41.987436,2022-10-29 12:52:42.459322,0 days 00:00:00.471886,mul,-2054.001298822824,0.0010998456330650753,COMPLETE
17,-2054.0030245342277,2022-10-29 12:52:42.568076,2022-10-29 12:52:42.648550,0 days 00:00:00.080474,add,-2054.0030245342277,0.001099857915785997,COMPLETE
18,-2054.0030245342277,2022-10-29 12:52:42.771725,2022-10-29 12:52:42.867852,0 days 00:00:00.096127,add,-2054.0030245342277,0.001099857915785997,COMPLETE
19,-2054.001298822824,2022-10-29 12:52:42.984676,2022-10-29 12:52:43.396027,0 days 00:00:00.411351,mul,-2054.001298822824,0.0010998456330650753,COMPLETE
