number,value,datetime_start,datetime_complete,duration,params_seasonal,state
0,-7112.725358867149,2022-10-29 13:40:24.533700,2022-10-29 13:40:24.646008,0 days 00:00:00.112308,add,COMPLETE
1,525.8627480534626,2022-10-29 13:40:24.775840,2022-10-29 13:40:24.786996,0 days 00:00:00.011156,None,COMPLETE
2,-7112.725358867149,2022-10-29 13:40:24.906995,2022-10-29 13:40:25.011846,0 days 00:00:00.104851,add,COMPLETE
3,-7112.718275659312,2022-10-29 13:40:25.138607,2022-10-29 13:40:25.693608,0 days 00:00:00.555001,mul,COMPLETE
4,-7112.718275659312,2022-10-29 13:40:25.819387,2022-10-29 13:40:26.435858,0 days 00:00:00.616471,mul,COMPLETE
5,525.8627480534626,2022-10-29 13:40:26.561034,2022-10-29 13:40:26.576646,0 days 00:00:00.015612,None,COMPLETE
6,-7112.725358867149,2022-10-29 13:40:26.712367,2022-10-29 13:40:26.826375,0 days 00:00:00.114008,add,COMPLETE
7,525.8627480534626,2022-10-29 13:40:26.951394,2022-10-29 13:40:26.967017,0 days 00:00:00.015623,None,COMPLETE
8,525.8627480534626,2022-10-29 13:40:27.076380,2022-10-29 13:40:27.092003,0 days 00:00:00.015623,None,COMPLETE
9,-7112.725358867149,2022-10-29 13:40:27.217108,2022-10-29 13:40:27.326477,0 days 00:00:00.109369,add,COMPLETE
10,-7112.725358867149,2022-10-29 13:40:27.435857,2022-10-29 13:40:27.560910,0 days 00:00:00.125053,add,COMPLETE
11,-7112.725358867149,2022-10-29 13:40:27.685921,2022-10-29 13:40:27.810905,0 days 00:00:00.124984,add,COMPLETE
12,-7112.725358867149,2022-10-29 13:40:27.935918,2022-10-29 13:40:28.060916,0 days 00:00:00.124998,add,COMPLETE
13,-7112.725358867149,2022-10-29 13:40:28.185915,2022-10-29 13:40:28.295727,0 days 00:00:00.109812,add,COMPLETE
14,-7112.725358867149,2022-10-29 13:40:28.405092,2022-10-29 13:40:28.514469,0 days 00:00:00.109377,add,COMPLETE
15,-7112.725358867149,2022-10-29 13:40:28.639469,2022-10-29 13:40:28.748841,0 days 00:00:00.109372,add,COMPLETE
16,-7112.718275659312,2022-10-29 13:40:28.873947,2022-10-29 13:40:29.452193,0 days 00:00:00.578246,mul,COMPLETE
17,-7112.725358867149,2022-10-29 13:40:29.582907,2022-10-29 13:40:29.707898,0 days 00:00:00.124991,add,COMPLETE
18,-7112.725358867149,2022-10-29 13:40:29.832908,2022-10-29 13:40:29.957908,0 days 00:00:00.125000,add,COMPLETE
19,-7112.718275659312,2022-10-29 13:40:30.082897,2022-10-29 13:40:30.614249,0 days 00:00:00.531352,mul,COMPLETE
