number,value,datetime_start,datetime_complete,duration,params_p,params_q,user_attrs_val_aic,user_attrs_val_mape,state
0,3205.4180018120887,2022-10-29 13:06:48.823261,2022-10-29 13:06:56.724088,0 days 00:00:07.900827,16,12,3205.4180018120887,0.012919171036422136,COMPLETE
1,3264.3153625247246,2022-10-29 13:06:56.849687,2022-10-29 13:07:04.757534,0 days 00:00:07.907847,15,11,3264.3153625247246,0.010983751631482505,COMPLETE
2,3237.6218827188886,2022-10-29 13:07:04.876450,2022-10-29 13:07:22.522166,0 days 00:00:17.645716,11,23,3237.6218827188886,0.010334204676322876,COMPLETE
3,3119.653848281513,2022-10-29 13:07:22.645872,2022-10-29 13:07:45.840649,0 days 00:00:23.194777,24,21,3119.653848281513,0.014764870110685982,COMPLETE
4,3300.440891572407,2022-10-29 13:07:45.970124,2022-10-29 13:07:50.202202,0 days 00:00:04.232078,14,5,3300.440891572407,0.06723839217166469,COMPLETE
5,3255.8298801821047,2022-10-29 13:07:50.325240,2022-10-29 13:07:51.554298,0 days 00:00:01.229058,6,1,3255.8298801821047,0.01114109099848052,COMPLETE
6,3101.0568771423186,2022-10-29 13:07:51.680817,2022-10-29 13:08:04.147583,0 days 00:00:12.466766,16,17,3101.0568771423186,0.00940021903791841,COMPLETE
7,3228.4781671706596,2022-10-29 13:08:04.259234,2022-10-29 13:08:21.116216,0 days 00:00:16.856982,8,23,3228.4781671706596,0.009748313180854336,COMPLETE
8,3210.0690146409906,2022-10-29 13:08:21.242115,2022-10-29 13:08:47.150077,0 days 00:00:25.907962,14,24,3210.0690146409906,0.010166170876267124,COMPLETE
9,3368.4737841937726,2022-10-29 13:08:47.278983,2022-10-29 13:08:50.053601,0 days 00:00:02.774618,13,1,3368.4737841937726,0.009802816110533356,COMPLETE
10,3354.4145187441873,2022-10-29 13:08:50.173694,2022-10-29 13:08:52.176359,0 days 00:00:02.002665,2,14,3354.4145187441873,0.016001268876641068,COMPLETE
11,3138.018071942207,2022-10-29 13:08:52.293423,2022-10-29 13:09:17.877308,0 days 00:00:25.583885,24,22,3138.018071942207,0.018049035330347504,COMPLETE
12,3061.2508623783724,2022-10-29 13:09:17.993354,2022-10-29 13:09:38.717658,0 days 00:00:20.724304,24,16,3061.2508623783724,0.010145068746798243,COMPLETE
13,3222.422972725807,2022-10-29 13:09:38.851629,2022-10-29 13:09:53.100036,0 days 00:00:14.248407,23,12,3222.422972725807,0.028412117264079523,COMPLETE
14,3153.320336677331,2022-10-29 13:09:53.214677,2022-10-29 13:10:08.086566,0 days 00:00:14.871889,17,18,3153.320336677331,0.009589572357978651,COMPLETE
15,7834.535264194032,2022-10-29 13:10:08.223844,2022-10-29 13:10:42.428305,0 days 00:00:34.204461,0,24,7834.535264194032,0.9867732686651804,COMPLETE
16,3393.0780888418276,2022-10-29 13:10:42.546655,2022-10-29 13:10:48.065512,0 days 00:00:05.518857,21,2,3393.0780888418276,0.021874217151418344,COMPLETE
17,3003.2938853866253,2022-10-29 13:10:48.180997,2022-10-29 13:11:05.440684,0 days 00:00:17.259687,21,16,3003.2938853866253,0.009710721715922898,COMPLETE
18,3159.6480949023107,2022-10-29 13:11:05.565104,2022-10-29 13:11:23.838604,0 days 00:00:18.273500,24,14,3159.6480949023107,0.02601648570181972,COMPLETE
19,3188.979221600961,2022-10-29 13:11:23.965835,2022-10-29 13:11:31.268530,0 days 00:00:07.302695,20,9,3188.979221600961,0.089512638502462,COMPLETE
